Date	0	2	3	4	5	6	7	9	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	66	67	68	69	71	72	73	74	75	76	77	80	81	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	140	141	142	143	144	145	146	147	148	149	150	152	153	154	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	188	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	222	223	224	225	226	227	228	229	230	231	232	233	234	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	267	268	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	359	364	365	366	367	368	369	370	373	374	375	376	377	378	381	382	383	384	385	386	388	390	391	394	395	396	397	398	399	400	401	402	403	405	406	407	408	410	411	412	413	414	415	416	417	418	419	420	421	422	423	424	425	426	427	428	429	430	431	432	433	434	435	436	437	438	439	440	441	442	443	444	445	446	447	448	449	450	451	452	453	454	455	456	457	458	459	460	461	462	463	464	465	466	467	468	469	470	471	472	474	475	476	477	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495	496	497	498	499	500	501	502	503	504	505	506	507	508	509	510	511	514	515	517	518	519	520	522	523	524	525	526	527	528	529	531	532	533	535	537	541	543	544	546	547	548	549	550	551	552	553	554	555	562	563	567	570	571	573	575	579	581	583	585	586	589	590	591	592	594	595	596	597	598	599	600	601	602	603	604	605	606	607	608	609	610	611	612	613	614	615	616	617	618	619	620
1	4456	8	6	3	8	4	10	2	0	0	15	6	9	9	8	49	16	11	18	13	6	27	5	35	3	5	12	11	28	8	23	2	15	42	25	27	21	9	23	0	47	19	6	11	30	47	37	25	35	45	24	7	4	25	12	25	29	18	8	0	58	16	9	23	28	13	16	32	79	1	106	24	27	17	10	4	11	7	26	13	84	9	13	17	0	13	0	35	7	33	0	0	2	28	14	16	11	38	11	4	12	4	9	10	15	19	8	2	2	10	16	1	32	9	4	9	6	11	7	1	54	23	2	3	9	6	23	15	26	12	7	13	8	2	14	6	0	13	12	4	9	6	9	5	4	17	1	2	25	4	6	1	13	8	6	3	6	15	77	12	23	4	1	1	7	29	15	13	1	5	9	7	6	38	108	0	14	50	15	15	15	27	0	1	5	1	3	8	3	3	0	1	20	37	16	6	5	4	4	11	0	6	6	4	7	6	10	7	11	3	5	10	7	10	13	6	3	14	9	3	15	19	4	7	11	8	4	5	5	1	2	3	2	5	9	23	8	5	3	3	15	12	0	4	30	1	0	7	0	0	4	11	4	4	3	5	3	3	3	0	8	59	21	3	42	48	7	23	7	5	3	5	4	6	7	4	4	7	17	11	8	11	11	3	1	6	3	6	2	8	11	13	9	5	4	15	4	2	9	18	7	0	3	10	6	11	10	6	1	12	12	4	6	1	0	7	8	1	10	5	14	13	32	11	10	4	0	8	10	0	0	0	1	0	0	8	11	3	3	1	2	0	3	0	7	1	12	1	0	0	2	10	0	2	2	0	0	0	7	0	0	1	0	1	0	0	0	3	3	1	2	0	0	0	2	2	7	1	0	5	7	5	8	0	3	16	0	4	7	1	0	0	2	0	6	0	1	0	1	1	0	0	0	0	0	0	0	1	0	3	0	2	0	4	0	1	3	1	1	1	1	1	9	3	7	5	6	1	0	1	0	6	1	1	0	2	1	1	2	4	4	0	0	4	1	3	1	3	1	1	2	1	1	0	6	1	2	0	3	1	1	1	0	2	5	5	3	7	4	0	1	4	5	2	3	0	0	1	1	1	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	10	3	1	0	3	0	1	3	4	3	2	0	0	0	3	1	0	3	1	0	1	1	0	0	5
2	5258	4	9	3	16	4	3	0	0	1	14	7	6	10	8	50	11	15	24	12	10	28	11	17	2	8	11	8	34	14	31	3	12	48	34	34	31	11	20	4	55	36	11	7	36	50	62	31	27	57	19	8	10	26	9	31	38	8	12	6	46	34	10	23	39	11	23	35	80	8	97	29	51	18	12	7	12	17	31	16	153	9	10	16	0	14	9	25	13	43	0	1	2	22	12	16	18	43	16	13	14	12	14	11	15	18	11	5	3	8	10	2	30	5	10	13	9	13	4	2	76	35	2	4	5	6	31	18	31	15	15	12	10	2	7	11	1	18	10	6	14	4	12	8	5	12	3	4	37	5	3	0	22	11	8	4	15	21	79	20	35	9	3	1	8	32	12	16	8	3	9	9	8	49	90	1	19	51	27	18	25	40	1	1	3	3	4	3	6	3	3	2	20	39	18	7	9	4	3	13	0	4	8	1	4	6	17	3	15	2	13	12	13	12	14	6	4	19	7	4	33	19	10	2	10	5	5	4	6	1	3	2	4	6	11	30	11	8	6	4	11	18	0	5	28	0	2	9	0	0	11	15	3	3	7	6	2	2	1	1	10	58	20	5	34	71	7	16	9	12	3	10	7	10	17	4	3	9	16	17	10	18	14	6	8	10	5	6	2	6	8	11	7	5	3	13	6	6	12	17	15	3	6	15	6	16	13	9	0	16	13	8	6	1	2	8	7	1	13	4	29	13	28	13	8	3	1	18	10	1	0	1	2	0	1	15	16	3	2	1	0	0	3	1	7	0	15	3	1	0	2	12	0	1	0	1	0	0	9	0	0	0	0	0	0	0	0	2	6	1	0	0	0	0	1	2	7	0	1	5	4	6	5	0	1	19	1	7	12	0	2	0	0	0	9	0	2	0	0	1	1	1	0	0	0	0	0	0	0	2	0	2	0	4	0	2	2	0	0	8	4	3	3	2	4	13	5	0	0	0	0	3	1	2	1	1	1	2	2	5	2	0	2	5	1	1	0	4	0	0	3	1	3	1	3	2	0	0	1	2	3	2	3	1	5	3	3	7	4	0	3	1	7	1	2	0	0	2	3	2	3	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	10	7	1	0	2	1	0	5	3	4	4	2	0	2	6	1	1	1	2	0	1	1	2	1	8
3	5156	4	13	2	8	10	7	1	0	1	12	9	13	12	9	41	7	10	24	12	5	25	13	37	8	9	11	14	21	13	30	0	33	46	43	29	25	18	19	2	41	27	12	13	29	55	47	28	32	46	27	9	10	29	11	37	26	10	15	0	49	23	14	23	36	17	21	30	72	18	102	23	39	15	20	11	14	13	27	13	133	7	13	14	0	21	5	36	10	35	0	0	6	25	9	17	15	39	13	20	14	9	18	10	14	15	15	3	7	6	19	2	28	8	16	24	10	19	4	2	70	27	1	3	7	8	26	15	26	17	14	15	11	2	11	9	0	11	9	4	9	6	7	6	8	12	2	7	40	6	6	0	8	8	10	3	13	17	75	12	27	19	0	3	15	32	14	14	4	1	12	9	17	27	101	0	22	65	13	16	24	40	0	1	4	3	2	5	6	2	0	2	22	42	22	7	7	4	1	11	0	11	15	4	6	12	7	5	13	4	13	16	7	16	16	6	6	12	7	7	16	20	8	6	8	6	3	4	8	2	3	4	1	5	12	33	8	4	8	2	9	9	0	4	29	0	1	13	0	2	4	15	2	1	4	11	4	4	4	1	16	59	23	12	40	58	7	21	10	13	8	8	7	8	7	3	6	7	18	9	15	12	9	6	8	14	6	3	1	7	8	13	7	5	2	10	10	2	10	11	16	1	5	9	5	17	12	9	5	11	12	7	11	0	3	12	9	2	18	10	17	10	24	8	14	3	1	16	9	1	0	1	2	0	0	12	12	3	2	1	0	0	2	0	12	0	12	4	0	1	1	12	0	1	0	0	0	0	6	0	0	1	0	1	0	0	0	2	5	0	0	0	1	0	1	2	12	1	3	8	3	7	8	0	1	12	2	2	12	1	2	1	0	0	5	0	3	1	0	2	0	1	0	0	0	0	0	0	0	3	1	3	0	4	1	3	2	2	1	5	5	1	6	4	2	12	3	4	2	0	1	3	1	2	1	2	2	0	0	3	3	0	0	5	1	1	0	2	1	1	1	3	0	0	8	0	2	1	3	1	3	0	2	1	6	6	7	4	7	0	4	3	2	0	4	0	0	0	2	3	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	13	3	0	0	2	1	3	4	10	4	3	0	0	1	3	1	0	3	0	0	1	0	1	1	4
4	3141	9	22	15	9	16	6	0	0	1	11	7	12	11	14	7	6	6	7	8	3	14	9	36	3	9	5	9	9	3	6	12	37	7	5	15	3	0	11	6	18	15	3	10	6	6	10	3	3	10	6	9	3	12	9	10	33	11	16	4	20	30	4	26	9	7	7	21	9	31	19	11	10	11	2	12	13	6	2	13	12	7	14	18	1	10	9	9	6	10	0	0	2	8	5	9	3	13	8	11	14	12	11	4	20	10	8	9	1	1	19	5	10	10	8	15	11	25	5	0	40	6	5	0	5	8	13	14	9	14	11	13	3	0	12	7	10	12	15	6	18	5	11	4	5	10	5	1	6	6	7	0	6	4	4	6	19	10	13	8	22	15	1	1	7	14	12	9	1	1	11	10	5	4	12	0	7	13	10	7	14	27	0	1	3	0	0	7	1	3	3	2	21	18	3	6	7	3	2	10	3	10	25	4	15	10	17	18	13	4	11	12	14	9	8	9	4	12	4	6	20	4	7	9	5	4	3	4	5	9	6	3	1	4	20	12	11	5	10	7	9	1	0	3	11	3	1	14	0	0	6	10	1	3	5	7	3	2	1	0	3	3	6	8	6	7	7	29	3	16	6	5	6	5	15	4	3	7	18	20	12	16	12	7	8	2	6	9	3	5	15	18	4	2	7	0	11	4	2	12	6	1	6	7	9	16	0	8	4	14	13	7	13	2	0	13	2	0	21	11	6	5	12	4	9	7	2	16	7	2	0	0	5	0	0	10	13	1	0	1	3	0	2	2	8	0	3	0	1	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	1	5	3	0	0	0	0	1	3	7	1	1	2	8	2	6	0	0	7	4	1	7	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	3	1	4	3	1	0	1	3	6	5	5	4	8	3	1	3	2	0	3	0	4	1	1	3	1	2	4	3	1	1	3	1	0	0	2	1	0	2	0	3	5	6	0	1	1	2	2	2	1	4	0	6	4	5	5	4	0	2	3	1	0	1	0	0	0	2	2	4	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	4	1	2	0	1	0	2	0	3	0	0	2	0	6	1	1	1	3
5	4836	28	51	28	8	27	17	0	1	2	16	6	4	9	15	6	7	23	6	7	7	30	25	32	6	12	12	8	16	5	16	18	134	14	13	8	10	0	19	3	28	25	8	6	6	14	22	6	9	19	17	16	9	33	12	29	28	8	24	8	13	35	6	29	14	14	9	18	7	101	21	16	20	9	32	7	12	7	0	65	12	5	21	35	1	10	23	8	26	12	7	0	4	8	10	8	4	46	1	24	20	20	13	8	35	11	4	8	5	0	11	4	16	14	11	11	2	19	11	5	44	4	1	0	7	11	27	29	9	27	27	33	4	3	18	13	28	14	16	1	29	31	9	2	6	15	6	2	8	4	6	0	14	5	2	0	20	16	15	10	18	86	2	1	11	19	9	16	1	4	9	7	19	4	14	0	16	26	15	11	15	31	0	0	3	2	1	6	1	1	0	1	16	16	9	4	7	2	5	3	0	11	25	5	14	7	19	10	16	2	16	18	20	19	5	8	2	15	10	12	22	8	9	7	7	8	10	18	4	17	4	7	2	7	28	45	7	6	13	7	20	2	0	3	25	3	8	97	1	0	3	6	3	2	7	5	2	1	3	0	5	7	29	6	9	7	20	42	9	21	2	16	12	4	18	5	6	33	30	25	7	28	12	7	13	18	6	10	10	3	15	32	5	3	9	5	4	5	8	12	13	4	14	15	10	30	2	18	3	18	15	8	23	2	2	17	4	4	14	32	7	15	13	6	8	3	0	21	11	1	0	0	1	2	0	23	17	3	0	0	0	0	4	1	3	2	2	0	0	3	0	1	0	1	0	0	1	0	5	0	0	3	0	2	0	4	0	2	3	1	0	0	0	0	1	2	8	0	3	7	3	8	12	0	1	7	10	3	7	0	1	2	0	2	1	0	3	0	0	0	0	1	0	0	1	1	0	0	0	13	1	3	1	6	0	3	5	1	0	7	21	10	13	11	2	13	8	10	0	2	1	0	3	2	2	3	3	1	1	1	5	2	1	5	1	1	1	5	1	1	4	3	6	2	5	2	1	1	8	2	4	3	7	7	1	5	0	6	12	0	6	1	6	0	1	4	1	1	5	3	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	6	0	0	0	1	1	5	2	6	0	0	1	0	4	4	0	0	3	0	2	0	0	0	0
6	7121	16	20	8	14	19	12	1	0	0	34	5	6	9	7	55	9	21	27	11	6	39	16	50	9	10	15	13	39	18	26	6	76	64	40	45	36	18	20	9	65	42	11	24	37	64	57	36	53	70	33	24	16	41	11	41	45	21	27	3	61	37	16	35	43	16	30	46	99	21	133	27	55	19	35	7	8	19	30	28	145	14	17	19	1	26	10	51	13	65	0	0	3	20	21	22	19	54	21	18	21	12	25	23	41	24	9	5	6	9	19	2	38	15	25	22	7	17	6	1	96	40	3	4	12	12	39	27	36	19	21	23	9	2	15	13	9	14	20	6	12	14	14	12	9	22	0	9	37	6	3	0	23	9	7	5	18	24	106	19	46	40	3	1	9	54	29	13	7	4	9	9	12	45	143	1	30	67	30	25	41	49	2	3	6	1	2	6	7	3	3	4	35	47	30	17	6	4	4	20	0	11	12	6	22	16	17	13	16	5	17	14	11	16	19	3	6	16	6	11	29	30	18	9	14	8	3	8	5	6	5	5	4	10	14	37	9	10	13	4	16	21	1	3	42	1	2	20	0	0	9	13	9	2	8	12	5	7	2	1	11	74	32	13	53	76	10	43	9	20	4	5	12	6	17	1	8	14	28	15	16	24	14	17	7	8	12	9	2	4	9	15	17	6	4	18	10	5	9	23	9	3	5	15	9	15	14	7	6	25	17	9	12	2	1	18	11	3	22	9	33	7	27	10	20	8	1	11	14	0	0	1	2	0	1	17	23	6	1	2	2	0	3	1	11	2	16	1	1	0	4	15	1	3	0	0	0	0	9	0	0	0	0	0	0	0	1	4	2	2	0	0	0	1	0	2	9	1	1	4	8	7	12	0	3	28	2	3	17	1	1	2	0	2	3	0	3	0	1	5	0	0	0	0	0	1	0	0	0	5	0	4	0	4	1	3	3	1	1	7	12	17	9	6	8	12	6	5	0	1	0	8	1	1	2	6	4	2	1	6	4	2	3	7	1	0	2	5	2	0	5	6	4	2	13	1	2	2	4	3	1	3	2	5	2	7	2	7	12	4	4	1	6	1	4	1	0	1	5	3	5	1	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	18	8	1	0	3	2	1	10	7	8	2	5	1	1	3	2	2	2	1	0	1	1	2	1	8
7	7855	17	41	16	11	22	12	1	1	0	28	7	15	10	12	49	17	22	30	21	15	46	25	48	10	13	22	12	33	17	47	7	89	62	43	31	28	25	26	6	85	53	19	16	39	60	78	46	52	78	34	27	13	37	16	40	38	29	17	8	73	31	21	35	56	31	32	60	119	56	143	29	71	26	40	9	20	30	36	50	156	12	13	31	0	18	17	48	17	58	0	1	4	28	22	23	25	54	16	26	26	14	26	18	38	31	13	12	7	10	23	3	39	14	16	18	9	15	4	2	85	36	0	4	21	12	38	19	46	30	22	40	12	5	18	8	6	17	18	8	24	19	17	9	4	22	6	5	35	7	8	0	15	11	12	1	16	27	101	19	46	41	2	1	13	60	20	16	6	6	13	12	15	60	142	1	45	71	22	39	36	41	2	1	11	2	7	11	7	4	2	4	31	49	26	7	7	4	4	8	1	12	10	7	15	11	15	12	20	5	21	25	14	16	28	10	3	17	12	6	31	30	14	11	12	11	5	9	5	6	6	5	6	14	15	38	12	11	8	5	15	23	1	7	40	1	8	18	0	1	13	16	8	1	6	11	4	1	2	1	13	89	33	11	34	88	12	29	12	21	6	13	11	9	21	7	7	16	28	27	20	9	16	13	9	9	9	11	7	8	20	15	14	7	3	25	9	4	10	27	23	5	7	13	5	27	21	12	4	25	21	10	22	5	3	31	18	0	25	14	30	12	36	16	24	6	3	25	15	2	1	2	1	4	0	18	25	5	4	2	0	0	3	0	12	0	17	2	1	2	1	12	0	2	0	0	0	0	11	0	0	0	0	0	1	0	2	2	2	1	0	0	1	1	1	3	13	1	2	10	7	4	19	0	3	26	5	8	17	2	4	1	3	0	5	1	7	0	1	2	0	2	0	0	0	1	1	2	2	7	2	7	0	8	0	0	6	0	1	4	7	7	5	9	7	12	10	7	0	1	3	4	3	1	4	1	5	2	1	6	4	4	1	6	1	5	3	6	3	0	5	3	6	3	7	3	0	1	7	0	1	0	6	1	6	12	5	10	7	1	2	5	11	1	5	1	0	1	2	4	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	2	2	0	0	0	17	7	0	0	5	1	3	3	12	5	5	3	1	1	6	2	1	1	1	1	1	2	3	2	9
8	6622	13	22	8	15	9	10	2	1	0	23	7	12	18	12	66	18	18	22	15	11	37	22	39	8	14	14	8	31	14	37	1	61	81	39	40	26	34	25	5	70	40	11	17	32	64	79	39	42	69	24	25	13	36	10	45	38	13	13	9	67	28	10	32	37	16	33	44	82	23	124	22	51	17	20	17	10	21	30	48	113	15	11	25	0	19	10	46	23	62	0	0	3	28	22	16	12	54	22	23	16	12	22	16	23	25	14	4	5	11	16	3	38	11	14	14	8	20	12	1	74	37	1	5	12	13	35	18	31	22	17	24	11	2	12	9	2	16	17	7	19	8	10	8	12	22	2	7	41	4	6	0	11	11	4	3	19	27	78	14	35	15	2	2	12	54	23	9	4	3	12	8	7	66	107	0	20	71	24	25	33	33	2	0	9	3	3	4	5	3	1	0	28	45	20	9	9	1	3	14	0	8	13	4	19	11	14	8	14	2	16	19	8	14	25	7	6	17	9	9	33	32	12	7	14	2	6	8	8	2	6	5	5	5	20	32	12	5	13	3	22	22	0	3	33	3	4	8	0	0	9	12	5	4	6	10	1	5	3	1	12	70	45	9	52	76	9	40	6	18	6	7	18	5	11	2	5	17	21	16	13	10	15	7	9	7	9	11	5	5	13	12	12	10	3	16	10	6	17	16	15	4	9	13	6	21	11	9	6	17	10	8	10	2	5	13	8	3	18	28	23	17	37	18	21	7	3	24	13	0	0	0	1	0	0	20	19	4	3	1	1	0	2	1	7	0	23	4	1	0	1	9	0	2	1	0	0	0	12	0	0	2	0	1	0	1	0	1	3	0	0	0	2	0	2	3	11	0	1	4	5	8	16	0	2	17	6	2	14	1	0	0	0	0	4	0	2	1	1	1	0	1	0	0	0	0	0	2	0	4	0	5	0	10	0	1	2	0	0	6	4	2	6	0	6	16	8	7	2	0	1	1	1	3	2	1	3	4	2	5	5	1	0	5	4	1	1	4	0	0	3	4	4	2	8	3	2	2	3	4	0	0	3	0	6	6	7	9	13	0	3	2	1	2	3	1	0	1	4	2	2	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	3	1	1	0	0	7	4	1	0	3	3	3	7	8	6	3	3	1	5	5	1	3	1	1	0	1	2	1	1	9
9	6320	6	23	7	12	6	9	4	0	0	16	10	10	13	8	62	15	24	26	10	12	40	23	36	4	11	19	12	31	8	33	2	39	61	43	36	24	12	25	9	79	27	14	17	36	39	70	25	43	65	31	14	14	29	10	30	46	16	14	6	55	37	16	26	44	14	22	44	86	24	104	26	62	15	33	13	17	11	36	33	161	10	17	22	0	21	4	45	8	57	0	0	6	18	20	17	12	51	16	25	19	14	22	11	25	10	14	3	4	8	21	2	29	17	13	18	9	21	9	3	82	37	0	6	16	18	36	16	26	20	18	18	12	3	21	9	0	18	14	1	16	8	7	8	5	19	3	6	44	9	6	1	19	10	8	5	14	24	107	21	40	9	4	0	12	48	13	15	6	4	12	4	13	40	134	1	23	62	27	24	29	34	0	0	7	0	3	8	4	3	3	2	18	38	23	6	8	11	2	16	0	8	15	0	15	4	20	7	16	4	15	17	6	12	13	7	3	16	7	6	20	30	6	5	8	5	6	14	5	2	8	4	6	3	12	33	9	4	14	4	11	19	1	5	30	2	3	16	0	1	7	14	4	3	2	9	3	5	5	1	14	80	37	10	43	80	8	26	11	19	4	18	13	7	13	4	5	13	20	16	14	12	12	11	11	8	8	7	3	2	9	15	12	6	2	20	12	3	14	24	11	3	7	15	5	16	13	11	3	21	14	5	23	2	4	18	14	4	19	19	27	12	27	11	19	5	1	13	8	0	1	1	1	1	0	11	20	4	2	1	1	0	6	1	6	0	15	1	1	0	1	9	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	2	4	1	0	0	0	1	1	3	13	1	1	7	4	7	15	0	1	27	5	5	17	0	3	0	0	0	1	0	1	0	1	2	0	2	0	0	0	0	0	1	0	4	0	5	1	8	1	5	1	2	0	3	7	1	2	5	5	11	8	3	1	0	1	1	1	2	2	3	2	3	0	3	2	1	1	6	3	2	0	2	0	0	4	1	3	1	5	1	1	0	3	2	1	0	3	4	5	3	5	8	11	0	4	1	6	0	2	0	0	1	2	2	4	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	13	6	1	0	2	4	4	10	7	7	6	2	0	4	4	2	1	1	3	0	0	1	3	1	5
